Name,Description,Rating,Publisher,Developer,Genre,Special Category
beamng drive,simulation,e,beamng,beamng,simulation,early access
splitgate,first person shooter,t,1047 games,1047 games,first person shooter,free to play
stick fight,"fighting ",e,landfall,landfall west,action,
phasmaphobia,"horror ",m,kinetic games,kinetic games,horror,vr
talos principle,puzzle,t,developer digital,croteam,first-person,indie
god of war,adventure,m,playstation pc llc,santa monica studio,action,
uncharted,adventure,t,playstation pc llc,naughty dog llc,action,
Detroit: Become Human,choices matter,m,quantic dream,quantic dream,choose your own adventure game,
journey,adventure,e,annapuma interactive,thatgamecompany,adventure,indie
days gone,open world,m,playstation pc llc,bend studio,survival,
age of empires IV,strategy,t,xbox game studios,relic entertainment,real time strategy,
dune spice wars,"strategy ",t,funcum,shiro games,4x strategy,
warhammer 3 total war,"strategy ",t,sega,creative assembly,real time strategy,
fallout new vegas,open world,m,bethesda studios,obsidian entertainment,role playing game,
"lego star wars the skywalker saga ",lego,e,warner bros. games,tt games,adventure,